epoca,lr,loss_train,acc_train,loss_val,acc_val
1,0.0001,0.8885,0.849,0.7188,0.9275
2,9.9e-05,0.7092,0.9263,0.6531,0.9563
3,9.6e-05,0.678,0.941,0.6261,0.9637
4,9.1e-05,0.6496,0.952,0.6157,0.9663
5,8.4e-05,0.6315,0.959,0.6049,0.97
6,7.5e-05,0.6197,0.9647,0.6021,0.9725
7,6.6e-05,0.6055,0.9693,0.5984,0.9762
8,5.6e-05,0.5893,0.9793,0.5906,0.975
9,4.5e-05,0.5788,0.983,0.5938,0.975
10,3.5e-05,0.58,0.979,0.5831,0.9812
11,2.6e-05,0.5706,0.9877,0.5805,0.975
12,1.7e-05,0.5676,0.986,0.5737,0.9838
13,1e-05,0.5642,0.9873,0.5698,0.9812
14,5e-06,0.561,0.9897,0.574,0.98
15,2e-06,0.5602,0.9887,0.5707,0.98
